0,8,14,29,8
1,4,6,64,12
2,14,14,42,23
3,8,17,54,20
4,4,15,76,18
5,6,6,57,22
6,6,11,59,28
7,12,12,77,36
8,14,6,82,46
9,4,13,76,39
10,2,7,84,39
11,14,16,80,56
12,8,1,70,55
13,8,4,64,58
14,2,13,101,60
15,12,14,91,77
16,14,25,113,82
17,10,20,135,79
18,6,5,86,76
19,14,14,110,88
20,14,17,124,90
21,14,11,143,97
22,10,23,147,100
23,14,23,130,105
24,14,25,139,106
25,14,9,152,109
26,8,16,125,104
27,10,15,148,108
28,10,22,147,115
29,8,5,148,114
30,6,11,152,115
31,12,7,168,123
32,10,19,156,122
33,8,12,155,121
34,10,20,182,130
35,2,11,169,124
36,4,13,191,133
37,14,20,198,146
38,6,5,147,139
39,14,5,189,148
40,6,12,159,143
41,12,21,182,154
42,10,8,191,155
43,10,18,187,156
44,10,6,178,158
45,6,18,215,158
46,8,15,215,171
47,6,23,237,175
48,4,13,206,178
49,10,18,212,187
50,14,22,249,193
51,8,15,242,190
52,2,11,251,192
53,8,22,226,204
54,2,3,223,199
55,14,19,238,218
56,10,16,258,217
57,2,14,241,211
58,10,19,277,221
59,4,11,253,217
60,14,11,259,229
61,2,8,274,223
62,6,11,282,230
63,8,13,287,239
64,10,13,261,246
65,12,13,288,251
66,12,12,300,255
67,14,17,314,262
68,6,17,310,262
69,8,18,304,269
70,12,17,306,276
71,10,10,302,280
72,10,13,331,284
73,14,22,338,291
74,6,18,333,286
75,12,26,326,294
76,4,15,334,293
77,12,10,334,303
78,10,5,329,304
79,8,15,350,309
80,10,18,344,312
81,2,13,365,312
82,6,10,329,318
83,10,14,342,325
84,14,27,392,330
85,8,8,361,335
86,2,8,340,330
87,6,16,396,337
88,14,5,371,348
89,2,9,346,337
90,14,10,396,352
91,14,7,375,359
92,10,14,403,359
93,12,24,406,366
94,10,8,414,368
95,4,8,411,370
96,8,8,424,376
97,8,9,392,379
98,8,10,397,382
99,6,4,426,384
