3,1
5,1
14,1
17,1
22,1
31,1
42,1
46,1
48,1
51,1
59,1
62,1
65,1
67,1
72,1
77,1
79,1
80,1
83,1
86,1
89,1
95,1
97,1
99,1
104,1
105,1
109,1
110,1
116,1
117,1
128,1
137,1
141,1
144,1
145,1
150,1
152,1
158,1
161,1
162,1
165,1
170,1
172,1
175,1
179,1
187,1
188,1
190,1
192,1
200,1
201,1
202,1
205,1
206,1
212,1
215,1
220,1
224,1
226,1
228,1
229,1
238,1
241,1
244,1
245,1
249,1
252,1
258,1
260,1
268,1
269,1
278,1
286,1
288,1
292,1
294,1
301,1
303,1
311,1
320,1
324,1
325,1
332,1
339,1
346,1
351,1
353,1
355,1
356,1
363,1
369,1
373,1
377,1
386,1
389,1
396,1
397,1
401,1
408,1
414,1
