0,4,13,20,6
1,8,22,57,11
2,10,15,73,18
3,10,14,68,26
4,4,5,70,24
5,14,8,67,37
6,8,23,94,34
7,6,19,62,34
8,12,14,66,42
9,14,14,91,46
10,12,18,68,45
11,2,10,78,38
12,6,7,89,48
13,14,14,80,58
14,12,24,86,57
15,6,11,86,58
16,10,16,119,63
17,4,21,86,58
18,6,17,84,62
19,2,6,102,63
20,6,13,108,73
21,8,1,96,78
22,12,16,101,84
23,4,22,127,81
24,10,23,114,88
25,6,10,101,85
26,8,9,114,89
27,2,3,131,85
28,4,1,107,89
29,8,6,138,103
30,14,16,134,110
31,4,7,149,102
32,8,17,139,111
33,2,14,156,106
34,4,5,152,110
35,2,11,153,110
36,2,13,171,116
37,10,18,157,129
38,12,21,161,137
39,12,20,162,139
40,10,14,176,141
41,14,19,186,147
42,12,11,195,151
43,10,4,172,155
44,14,3,176,160
45,4,4,188,159
46,12,7,204,177
47,10,15,197,178
48,10,26,210,181
49,8,3,193,184
50,6,5,204,183
51,14,10,211,194
52,12,22,229,195
53,14,2,217,204
54,6,10,247,200
55,6,18,240,202
56,14,15,234,212
57,10,12,258,216
58,4,16,256,218
59,8,11,279,226
60,12,23,278,240
61,4,15,275,240
62,14,30,295,252
63,8,12,298,252
64,8,13,284,254
65,6,14,296,255
66,12,25,322,263
67,8,6,298,260
68,2,16,290,259
69,6,5,308,266
70,14,11,318,277
71,10,9,286,276
72,2,6,287,269
73,6,6,312,274
74,4,8,309,281
75,6,15,331,286
76,14,21,325,298
77,6,13,340,295
78,14,16,349,310
79,8,14,362,306
80,2,17,340,305
81,4,11,334,311
82,12,20,378,326
83,14,13,375,330
84,14,21,377,333
85,6,14,378,328
86,4,9,356,336
87,12,17,402,351
88,6,3,351,348
89,6,12,406,351
90,14,24,394,362
91,12,20,388,364
92,14,22,391,367
93,14,21,389,368
94,2,18,410,358
95,6,12,419,367
96,8,25,419,379
97,2,8,414,375
98,8,12,428,385
99,4,15,406,387
