0,8,16,41,11
1,10,24,51,16
2,4,3,37,13
3,8,25,45,18
4,14,12,70,31
5,14,19,70,33
6,6,11,57,31
7,6,7,72,33
8,12,15,93,41
9,10,25,88,48
10,12,7,101,56
11,12,24,104,58
12,8,13,91,56
13,2,10,76,51
14,4,18,107,55
15,2,12,109,54
16,12,11,101,67
17,10,14,97,68
18,6,8,98,69
19,2,15,124,67
20,6,13,123,73
21,6,10,115,74
22,4,10,129,75
23,12,21,141,91
24,14,14,128,104
25,12,12,151,110
26,2,2,152,105
27,12,23,154,116
28,10,13,134,118
29,6,8,147,118
30,10,17,162,123
31,4,6,128,118
32,12,20,151,127
33,14,15,180,134
34,10,16,187,133
35,10,2,149,136
36,6,5,143,137
37,14,31,182,146
38,14,28,193,149
39,8,3,165,145
40,14,12,190,155
41,2,8,158,144
42,4,3,190,150
43,10,15,194,157
44,10,16,185,158
45,10,14,193,161
46,12,12,178,165
47,6,13,201,163
48,8,4,188,169
49,10,22,199,173
50,10,16,214,182
51,14,10,232,192
52,14,28,252,194
53,10,18,218,192
54,8,14,214,192
55,4,14,229,190
56,10,8,208,197
57,12,8,227,202
58,2,9,210,193
59,10,23,259,205
60,10,7,215,207
61,4,16,221,205
62,4,9,261,208
63,8,15,275,218
64,10,22,253,228
65,10,23,264,231
66,10,9,243,233
67,2,8,251,226
68,14,16,277,245
69,6,12,277,239
70,10,25,314,250
71,4,10,291,246
72,14,12,307,261
73,10,13,304,259
74,8,23,286,261
75,4,9,283,258
76,4,15,310,259
77,8,4,300,264
78,6,15,304,264
79,4,6,288,267
80,14,31,333,279
81,2,15,312,277
82,2,15,320,279
83,10,24,329,288
84,8,14,341,294
85,8,16,356,300
86,8,3,316,301
87,6,14,349,304
88,2,16,334,306
89,6,5,345,311
90,14,12,363,322
91,14,11,361,324
92,6,15,366,323
93,12,14,383,333
94,2,11,338,327
95,14,13,362,344
96,10,16,370,342
97,2,12,394,338
98,4,8,366,347
99,2,9,378,347
