Job ID,GCUs Required,Execution Time,DeadLine,Lastest Time Schedulable,GCUs Req High,GCUs Req Medium,GCUs Req Low,ET High,ET Medium,ET Low,Deadline Flexibility
0,8,12,152,140,8,4,2,12,18,27,10
1,14,14,24,10,14,6,2,14,22,36,0
2,6,6,107,101,6,2,0,6,10,0,5
3,10,10,29,19,10,4,2,10,16,24,10
4,8,8,51,43,8,4,2,8,12,18,10
5,8,8,376,368,8,4,2,8,12,18,5
6,8,8,158,150,8,4,2,8,12,18,5
7,14,20,56,36,14,6,2,20,31,51,10
8,12,26,54,28,12,6,2,26,39,65,5
9,10,10,45,35,10,4,2,10,16,24,5
10,10,10,54,44,10,4,2,10,16,24,5
11,8,46,230,184,8,4,2,46,69,103,5
12,12,12,60,48,12,6,2,12,18,30,10
13,4,4,132,128,4,2,0,4,6,0,5
14,8,8,127,119,8,4,2,8,12,18,0
15,14,14,75,61,14,6,2,14,22,36,5
16,14,14,90,76,14,6,2,14,22,36,5
17,10,10,82,72,10,4,2,10,16,24,10
18,14,16,78,62,14,6,2,16,25,41,10
19,14,14,82,68,14,6,2,14,22,36,0
20,4,13,107,94,4,2,0,13,19,0,10
21,14,14,92,78,14,6,2,14,22,36,0
22,12,55,127,72,12,6,2,55,82,136,0
23,14,14,92,78,14,6,2,14,22,36,0
24,2,2,121,119,2,0,0,2,0,0,0
25,14,14,91,77,14,6,2,14,22,36,5
26,2,2,90,88,2,0,0,2,0,0,10
27,6,6,103,97,6,2,0,6,10,0,0
28,14,14,143,129,14,6,2,14,22,36,5
29,6,10,100,90,6,2,0,10,16,0,0
30,10,11,98,87,10,4,2,11,17,25,5
31,6,6,118,112,6,2,0,6,10,0,10
32,14,14,123,109,14,6,2,14,22,36,5
33,12,12,130,118,12,6,2,12,18,30,10
34,4,4,121,117,4,2,0,4,6,0,0
35,12,12,134,122,12,6,2,12,18,30,0
36,4,4,147,143,4,2,0,4,6,0,10
37,10,10,119,109,10,4,2,10,16,24,10
38,8,12,143,131,8,4,2,12,18,27,10
39,4,7,175,168,4,2,0,7,10,0,5
40,8,8,156,148,8,4,2,8,12,18,5
41,4,4,155,151,4,2,0,4,6,0,5
42,2,2,175,173,2,0,0,2,0,0,5
43,14,14,149,135,14,6,2,14,22,36,5
44,12,22,152,130,12,6,2,22,33,55,5
45,12,12,154,142,12,6,2,12,18,30,0
46,12,12,152,140,12,6,2,12,18,30,5
47,14,14,153,139,14,6,2,14,22,36,10
48,8,8,154,146,8,4,2,8,12,18,5
49,2,6,153,147,2,0,0,6,0,0,10
50,14,15,183,168,14,6,2,15,23,38,10
51,14,14,158,144,14,6,2,14,22,36,0
52,6,6,228,222,6,2,0,6,10,0,10
53,8,8,222,214,8,4,2,8,12,18,10
54,8,8,196,188,8,4,2,8,12,18,0
55,6,10,158,148,6,2,0,10,16,0,10
56,10,10,168,158,10,4,2,10,16,24,0
57,4,4,230,226,4,2,0,4,6,0,10
58,14,22,198,176,14,6,2,22,34,56,10
59,12,12,184,172,12,6,2,12,18,30,0
60,6,6,279,273,6,2,0,6,10,0,10
61,10,14,190,176,10,4,2,14,22,33,5
62,2,2,198,196,2,0,0,2,0,0,0
63,10,10,193,183,10,4,2,10,16,24,0
64,14,14,230,216,14,6,2,14,22,36,10
65,10,10,219,209,10,4,2,10,16,24,10
66,4,4,186,182,4,2,0,4,6,0,5
67,4,4,188,184,4,2,0,4,6,0,0
68,14,14,197,183,14,6,2,14,22,36,5
69,10,10,195,185,10,4,2,10,16,24,0
70,12,12,215,203,12,6,2,12,18,30,0
71,8,8,231,223,8,4,2,8,12,18,0
72,8,17,226,209,8,4,2,17,25,37,5
73,4,4,202,198,4,2,0,4,6,0,5
74,12,16,222,206,12,6,2,16,24,40,5
75,4,4,215,211,4,2,0,4,6,0,5
76,2,2,244,242,2,0,0,2,0,0,10
77,6,6,325,319,6,2,0,6,10,0,0
78,10,10,217,207,10,4,2,10,16,24,0
79,10,10,241,231,10,4,2,10,16,24,0
80,2,2,226,224,2,0,0,2,0,0,5
81,12,12,231,219,12,6,2,12,18,30,0
82,2,2,214,212,2,0,0,2,0,0,5
83,2,2,220,218,2,0,0,2,0,0,10
84,12,15,254,239,12,6,2,15,22,36,0
85,8,8,238,230,8,4,2,8,12,18,10
86,12,12,234,222,12,6,2,12,18,30,0
87,2,2,230,228,2,0,0,2,0,0,10
88,8,8,235,227,8,4,2,8,12,18,10
89,12,12,243,231,12,6,2,12,18,30,0
90,8,8,690,682,8,4,2,8,12,18,10
91,12,12,240,228,12,6,2,12,18,30,10
92,8,8,236,228,8,4,2,8,12,18,5
93,8,8,242,234,8,4,2,8,12,18,10
94,10,10,244,234,10,4,2,10,16,24,10
95,4,4,290,286,4,2,0,4,6,0,5
96,14,14,253,239,14,6,2,14,22,36,10
97,4,5,282,277,4,2,0,5,7,0,0
98,6,8,357,349,6,2,0,8,13,0,0
99,2,2,242,240,2,0,0,2,0,0,5
