Job ID,GCUs Required,Execution Time,DeadLine,Lastest Time Schedulable,GCUs Req High,GCUs Req Medium,GCUs Req Low,ET High,ET Medium,ET Low,Deadline Flexibility
0,4,4,21,17,4,2,0,4,6,0,10
1,8,8,33,25,8,4,2,8,12,18,0
2,10,10,24,14,10,4,2,10,16,24,10
3,8,8,60,52,8,4,2,8,12,18,10
4,2,2,43,41,2,0,0,2,0,0,0
5,6,6,83,77,6,2,0,6,10,0,0
6,2,2,28,26,2,0,0,2,0,0,10
7,10,13,43,30,10,4,2,13,20,30,10
8,4,5,72,67,4,2,0,5,7,0,0
9,2,2,38,36,2,0,0,2,0,0,5
10,2,2,40,38,2,0,0,2,0,0,0
11,12,12,49,37,12,6,2,12,18,30,10
12,6,18,103,85,6,2,0,18,30,0,10
13,12,12,77,65,12,6,2,12,18,30,5
14,2,2,41,39,2,0,0,2,0,0,10
15,14,18,124,106,14,6,2,18,28,46,0
16,10,10,55,45,10,4,2,10,16,24,5
17,4,4,58,54,4,2,0,4,6,0,5
18,8,8,303,295,8,4,2,8,12,18,5
19,2,6,64,58,2,0,0,6,0,0,0
20,14,42,113,71,14,6,2,42,66,110,10
21,6,15,104,89,6,2,0,15,25,0,10
22,14,14,73,59,14,6,2,14,22,36,10
23,4,4,65,61,4,2,0,4,6,0,5
24,4,4,87,83,4,2,0,4,6,0,0
25,4,4,120,116,4,2,0,4,6,0,10
26,4,4,77,73,4,2,0,4,6,0,0
27,10,10,90,80,10,4,2,10,16,24,5
28,2,3,105,102,2,0,0,3,0,0,5
29,10,10,90,80,10,4,2,10,16,24,0
30,10,14,107,93,10,4,2,14,22,33,5
31,12,22,110,88,12,6,2,22,33,55,10
32,12,12,104,92,12,6,2,12,18,30,5
33,12,12,125,113,12,6,2,12,18,30,10
34,10,10,122,112,10,4,2,10,16,24,10
35,8,8,111,103,8,4,2,8,12,18,5
36,8,8,128,120,8,4,2,8,12,18,10
37,2,2,119,117,2,0,0,2,0,0,10
38,8,8,173,165,8,4,2,8,12,18,5
39,6,15,299,284,6,2,0,15,25,0,5
40,4,4,134,130,4,2,0,4,6,0,0
41,8,8,121,113,8,4,2,8,12,18,0
42,10,10,131,121,10,4,2,10,16,24,10
43,12,12,168,156,12,6,2,12,18,30,0
44,6,6,129,123,6,2,0,6,10,0,5
45,12,12,129,117,12,6,2,12,18,30,5
46,4,4,129,125,4,2,0,4,6,0,0
47,6,6,246,240,6,2,0,6,10,0,0
48,10,10,164,154,10,4,2,10,16,24,5
49,14,22,149,127,14,6,2,22,34,56,5
50,6,6,159,153,6,2,0,6,10,0,0
51,2,4,147,143,2,0,0,4,0,0,0
52,2,2,159,157,2,0,0,2,0,0,5
53,8,14,287,273,8,4,2,14,21,31,0
54,8,8,452,444,8,4,2,8,12,18,5
55,12,12,158,146,12,6,2,12,18,30,0
56,6,6,216,210,6,2,0,6,10,0,0
57,4,4,178,174,4,2,0,4,6,0,0
58,8,8,257,249,8,4,2,8,12,18,0
59,2,2,159,157,2,0,0,2,0,0,5
60,12,12,177,165,12,6,2,12,18,30,0
61,6,6,178,172,6,2,0,6,10,0,5
62,4,4,181,177,4,2,0,4,6,0,10
63,12,12,189,177,12,6,2,12,18,30,5
64,10,10,189,179,10,4,2,10,16,24,0
65,8,10,194,184,8,4,2,10,15,22,0
66,6,6,253,247,6,2,0,6,10,0,5
67,2,2,203,201,2,0,0,2,0,0,0
68,10,10,199,189,10,4,2,10,16,24,0
69,10,10,188,178,10,4,2,10,16,24,10
70,2,3,292,289,2,0,0,3,0,0,0
71,8,8,313,305,8,4,2,8,12,18,5
72,10,10,196,186,10,4,2,10,16,24,5
73,10,10,197,187,10,4,2,10,16,24,5
74,12,12,212,200,12,6,2,12,18,30,10
75,2,3,223,220,2,0,0,3,0,0,10
76,6,10,297,287,6,2,0,10,16,0,10
77,2,2,208,206,2,0,0,2,0,0,5
78,10,12,219,207,10,4,2,12,19,28,5
79,2,2,231,229,2,0,0,2,0,0,5
80,4,4,246,242,4,2,0,4,6,0,0
81,14,19,237,218,14,6,2,19,29,48,5
82,4,4,239,235,4,2,0,4,6,0,10
83,10,10,228,218,10,4,2,10,16,24,10
84,8,21,241,220,8,4,2,21,31,46,5
85,10,10,253,243,10,4,2,10,16,24,5
86,6,6,242,236,6,2,0,6,10,0,5
87,2,2,237,235,2,0,0,2,0,0,0
88,12,12,271,259,12,6,2,12,18,30,5
89,10,10,246,236,10,4,2,10,16,24,0
90,2,2,240,238,2,0,0,2,0,0,10
91,8,13,347,334,8,4,2,13,19,28,5
92,8,8,349,341,8,4,2,8,12,18,0
93,6,6,309,303,6,2,0,6,10,0,10
94,8,8,454,446,8,4,2,8,12,18,10
95,14,14,271,257,14,6,2,14,22,36,0
96,14,14,298,284,14,6,2,14,22,36,10
97,12,12,279,267,12,6,2,12,18,30,10
98,2,2,291,289,2,0,0,2,0,0,10
99,8,10,341,331,8,4,2,10,15,22,10
