Job Release Time,Num Jobs Released
3,1
5,1
6,1
9,1
11,1
13,1
15,1
16,1
20,1
21,1
25,1
26,1
31,1
35,1
39,1
45,1
47,1
49,1
50,1
51,1
57,1
58,1
61,1
66,1
68,1
69,1
70,1
72,1
73,1
77,1
78,1
82,1
84,1
87,1
90,1
91,1
92,1
93,1
99,1
105,1
110,1
111,1
113,1
116,1
117,1
118,1
119,1
126,1
127,1
131,1
136,1
139,1
140,1
144,1
146,1
148,1
150,1
151,1
152,1
154,1
155,1
159,1
161,1
163,1
165,1
173,1
177,1
178,1
181,1
188,1
189,1
193,1
195,1
196,1
198,1
204,1
205,1
206,1
207,1
211,1
213,1
214,1
215,1
216,1
217,1
219,1
220,1
223,1
224,1
225,1
227,1
230,1
232,1
235,1
236,1
237,1
238,1
240,1
243,1
246,1
