Job Release Time,Num Jobs Released
1,1
2,1
4,1
5,1
8,1
14,1
19,1
21,1
26,1
28,1
30,1
38,1
39,1
41,1
42,1
47,1
51,1
52,1
54,1
55,1
60,1
61,1
65,1
67,1
69,1
71,1
73,1
74,1
78,1
79,1
83,1
87,1
88,1
90,1
95,1
97,1
100,1
104,1
106,1
109,1
111,1
113,1
114,1
115,1
116,1
120,1
123,1
124,1
127,1
128,1
129,1
130,1
131,1
132,1
134,1
137,1
144,1
145,1
146,1
149,1
150,1
153,1
154,1
155,1
159,1
160,1
162,1
163,1
164,1
165,1
166,1
168,1
175,1
189,1
191,1
194,1
198,1
199,1
200,1
208,1
210,1
211,1
213,1
216,1
217,1
218,1
219,1
220,1
222,1
227,1
232,1
235,1
238,1
242,1
254,1
256,1
257,1
258,1
259,1
266,1
