Job Release Time,Num Jobs Released
0,1
8,1
10,1
11,1
12,1
13,1
14,1
15,1
22,1
23,1
24,1
26,1
27,1
31,1
37,1
38,1
39,1
40,1
43,1
45,1
51,1
53,1
56,1
59,1
61,1
65,1
67,1
68,1
78,1
81,1
83,1
84,1
85,1
89,1
95,1
96,1
98,1
102,1
103,1
105,1
111,1
112,1
113,1
114,1
115,1
117,1
122,1
127,1
131,1
134,1
137,1
138,1
140,1
146,1
148,1
150,1
152,1
155,1
160,1
164,1
168,1
169,1
185,1
187,1
189,1
191,1
192,1
194,1
198,1
203,1
206,1
212,1
215,1
219,1
223,1
224,1
225,1
231,1
233,1
234,1
235,1
236,1
237,1
240,1
243,1
252,1
256,1
258,1
259,1
260,1
262,1
263,1
266,1
268,1
272,1
273,1
275,1
276,1
279,1
282,1
