0,12,9,41,12
1,14,13,66,18
2,10,13,37,21
3,14,14,77,29
4,8,23,57,31
5,8,12,77,35
6,2,14,95,33
7,4,15,83,40
8,2,8,86,39
9,2,13,90,40
10,8,21,99,56
11,8,20,106,63
12,10,11,106,70
13,10,16,95,71
14,2,13,112,64
15,12,19,126,81
16,6,17,108,76
17,10,5,117,83
18,2,8,121,82
19,8,19,116,94
20,4,17,127,94
21,12,16,151,103
22,8,14,146,101
23,4,11,138,105
24,6,15,156,108
25,2,5,154,106
26,4,8,138,112
27,14,28,169,125
28,6,22,179,121
29,6,14,177,123
30,6,10,150,125
31,14,18,169,137
32,12,20,177,137
33,10,19,173,138
34,12,20,182,147
35,8,12,188,146
36,8,20,204,151
37,2,13,211,150
38,8,17,212,160
39,2,18,194,159
40,14,14,194,176
41,8,16,224,174
42,12,18,208,181
43,10,22,213,182
44,4,12,211,178
45,12,15,232,187
46,2,12,214,184
47,12,10,230,196
48,14,4,236,201
49,14,8,212,204
50,8,18,249,203
51,4,12,247,206
52,8,9,230,212
53,2,4,229,209
54,4,8,237,213
55,10,22,269,221
56,10,6,236,223
57,4,3,243,222
58,4,13,279,224
59,10,18,277,231
60,6,10,242,229
61,6,16,267,231
62,12,27,266,239
63,10,13,282,242
64,2,12,281,238
65,6,21,299,244
66,8,22,290,249
67,8,18,301,251
68,8,20,286,255
69,6,22,286,255
70,4,14,290,255
71,14,15,289,268
72,6,12,275,263
73,10,11,285,274
74,14,7,320,289
75,2,9,296,279
76,10,17,314,289
77,10,16,308,290
78,8,17,329,295
79,6,17,351,296
80,8,14,336,301
81,6,18,357,302
82,4,20,322,302
83,8,6,324,309
84,2,5,328,306
85,12,26,348,318
86,4,3,327,312
87,2,7,362,316
88,4,22,384,319
89,14,25,390,330
90,10,6,334,327
91,10,17,360,334
92,14,16,374,339
93,4,8,374,333
94,6,10,350,338
95,4,13,387,341
96,10,20,397,354
97,8,2,393,359
98,4,8,404,358
99,2,10,376,358
