Job Release Time,Num Jobs Released
2,1
3,1
8,1
11,1
14,1
15,1
16,1
18,1
20,1
21,1
22,1
25,1
27,1
29,1
33,1
36,1
37,1
39,1
40,1
48,1
49,1
50,1
51,1
52,1
56,1
64,1
66,1
67,1
68,1
72,1
73,1
74,1
75,1
79,1
81,1
83,1
90,1
93,1
95,1
100,1
105,1
110,1
118,1
122,1
123,1
128,1
130,1
135,1
136,1
138,1
139,1
140,1
144,1
145,1
151,1
152,1
154,1
155,1
156,1
157,1
159,1
165,1
169,1
171,1
173,1
177,1
179,1
181,1
182,1
183,1
186,1
187,1
189,1
193,1
197,1
201,1
204,1
205,1
206,1
210,1
212,1
213,1
217,1
224,1
227,1
230,1
231,1
233,1
238,1
240,1
244,1
245,1
253,1
255,1
259,1
260,1
262,1
273,1
275,1
276,1
