Job Release Time,Num Jobs Released
0,1
6,1
9,1
13,1
15,1
16,1
20,1
24,1
25,1
26,1
30,1
33,1
36,1
37,1
38,1
40,1
43,1
44,1
50,1
51,1
61,1
62,1
64,1
70,1
73,1
80,1
85,1
87,1
93,1
95,1
96,1
97,1
98,1
99,1
102,1
104,1
110,1
113,1
114,1
116,1
120,1
121,1
125,1
128,1
132,1
134,1
138,1
139,1
141,1
142,1
143,1
144,1
146,1
147,1
153,1
156,1
164,1
165,1
166,1
171,1
173,1
179,1
180,1
181,1
182,1
183,1
185,1
188,1
194,1
195,1
199,1
202,1
203,1
205,1
210,1
211,1
217,1
218,1
222,1
226,1
230,1
231,1
233,1
235,1
237,1
239,1
242,1
244,1
246,1
248,1
250,1
253,1
255,1
258,1
262,1
265,1
268,1
269,1
270,1
275,1
