Job ID,GCUs Required,Execution Time,DeadLine,Lastest Time Schedulable,GCUs Req High,GCUs Req Medium,GCUs Req Low,ET High,ET Medium,ET Low,Deadline Flexibility
0,12,12,31,19,12,0,0,12,0,0,0
1,12,12,23,11,12,0,0,12,0,0,0
2,8,8,30,22,8,0,0,8,0,0,0
3,12,12,25,13,12,0,0,12,0,0,0
4,6,6,53,47,6,0,0,6,0,0,0
5,6,6,50,44,6,0,0,6,0,0,0
6,2,2,19,17,2,0,0,2,0,0,0
7,10,12,59,47,10,0,0,12,0,0,0
8,6,6,91,85,6,0,0,6,0,0,0
9,8,8,203,195,8,0,0,8,0,0,0
10,4,4,61,57,4,0,0,4,0,0,0
11,12,12,88,76,12,0,0,12,0,0,0
12,2,3,53,50,2,0,0,3,0,0,0
13,2,2,40,38,2,0,0,2,0,0,0
14,8,19,312,293,8,0,0,19,0,0,0
15,14,19,58,39,14,0,0,19,0,0,0
16,8,8,51,43,8,0,0,8,0,0,0
17,6,7,115,108,6,0,0,7,0,0,0
18,12,14,82,68,12,0,0,14,0,0,0
19,2,2,65,63,2,0,0,2,0,0,0
20,12,16,82,66,12,0,0,16,0,0,0
21,4,4,75,71,4,0,0,4,0,0,0
22,12,12,78,66,12,0,0,12,0,0,0
23,8,17,148,131,8,0,0,17,0,0,0
24,2,2,118,116,2,0,0,2,0,0,0
25,4,4,188,184,4,0,0,4,0,0,0
26,14,14,89,75,14,0,0,14,0,0,0
27,12,12,99,87,12,0,0,12,0,0,0
28,8,8,203,195,8,0,0,8,0,0,0
29,14,26,95,69,14,0,0,26,0,0,0
30,10,10,95,85,10,0,0,10,0,0,0
31,6,6,162,156,6,0,0,6,0,0,0
32,12,12,117,105,12,0,0,12,0,0,0
33,14,36,126,90,14,0,0,36,0,0,0
34,14,14,148,134,14,0,0,14,0,0,0
35,2,2,98,96,2,0,0,2,0,0,0
36,10,12,104,92,10,0,0,12,0,0,0
37,4,4,149,145,4,0,0,4,0,0,0
38,8,8,145,137,8,0,0,8,0,0,0
39,2,2,102,100,2,0,0,2,0,0,0
40,12,12,114,102,12,0,0,12,0,0,0
41,8,8,120,112,8,0,0,8,0,0,0
42,14,14,116,102,14,0,0,14,0,0,0
43,4,4,124,120,4,0,0,4,0,0,0
44,12,12,119,107,12,0,0,12,0,0,0
45,4,4,139,135,4,0,0,4,0,0,0
46,10,10,124,114,10,0,0,10,0,0,0
47,4,5,154,149,4,0,0,5,0,0,0
48,12,17,131,114,12,0,0,17,0,0,0
49,12,12,131,119,12,0,0,12,0,0,0
50,6,6,191,185,6,0,0,6,0,0,0
51,14,14,139,125,14,0,0,14,0,0,0
52,10,10,132,122,10,0,0,10,0,0,0
53,2,2,127,125,2,0,0,2,0,0,0
54,6,8,137,129,6,0,0,8,0,0,0
55,6,6,370,364,6,0,0,6,0,0,0
56,12,30,157,127,12,0,0,30,0,0,0
57,2,2,198,196,2,0,0,2,0,0,0
58,2,2,178,176,2,0,0,2,0,0,0
59,12,17,167,150,12,0,0,17,0,0,0
60,2,2,157,155,2,0,0,2,0,0,0
61,6,8,158,150,6,0,0,8,0,0,0
62,10,13,167,154,10,0,0,13,0,0,0
63,4,4,192,188,4,0,0,4,0,0,0
64,8,9,182,173,8,0,0,9,0,0,0
65,4,4,201,197,4,0,0,4,0,0,0
66,2,2,179,177,2,0,0,2,0,0,0
67,8,8,379,371,8,0,0,8,0,0,0
68,2,2,174,172,2,0,0,2,0,0,0
69,12,12,189,177,12,0,0,12,0,0,0
70,12,12,193,181,12,0,0,12,0,0,0
71,4,5,233,228,4,0,0,5,0,0,0
72,8,11,305,294,8,0,0,11,0,0,0
73,8,11,190,179,8,0,0,11,0,0,0
74,10,10,198,188,10,0,0,10,0,0,0
75,10,10,226,216,10,0,0,10,0,0,0
76,12,12,235,223,12,0,0,12,0,0,0
77,14,14,205,191,14,0,0,14,0,0,0
78,8,8,243,235,8,0,0,8,0,0,0
79,4,5,225,220,4,0,0,5,0,0,0
80,2,2,221,219,2,0,0,2,0,0,0
81,2,2,202,200,2,0,0,2,0,0,0
82,12,32,232,200,12,0,0,32,0,0,0
83,12,12,227,215,12,0,0,12,0,0,0
84,2,2,204,202,2,0,0,2,0,0,0
85,6,8,227,219,6,0,0,8,0,0,0
86,4,4,226,222,4,0,0,4,0,0,0
87,6,6,247,241,6,0,0,6,0,0,0
88,10,10,222,212,10,0,0,10,0,0,0
89,4,5,249,244,4,0,0,5,0,0,0
90,14,15,247,232,14,0,0,15,0,0,0
91,6,6,304,298,6,0,0,6,0,0,0
92,4,4,234,230,4,0,0,4,0,0,0
93,4,4,265,261,4,0,0,4,0,0,0
94,2,2,245,243,2,0,0,2,0,0,0
95,12,12,242,230,12,0,0,12,0,0,0
96,10,10,245,235,10,0,0,10,0,0,0
97,14,26,335,309,14,0,0,26,0,0,0
98,8,18,535,517,8,0,0,18,0,0,0
99,2,2,240,238,2,0,0,2,0,0,0
