1,1
2,1
9,1
12,1
14,1
24,1
32,1
35,1
45,1
48,1
49,1
57,1
59,1
61,1
66,1
71,1
73,1
79,1
85,1
89,1
91,1
95,1
106,1
110,1
113,1
124,1
129,1
130,1
136,1
140,1
141,1
142,1
145,1
150,1
152,1
156,1
158,1
166,1
169,1
173,1
174,1
175,1
181,1
182,1
187,1
188,1
190,1
197,1
203,1
204,1
207,1
211,1
214,1
221,1
229,1
230,1
233,1
238,1
243,1
251,1
255,1
258,1
265,1
266,1
267,1
268,1
270,1
276,1
279,1
280,1
284,1
287,1
289,1
295,1
300,1
310,1
311,1
320,1
324,1
334,1
337,1
348,1
350,1
351,1
360,1
361,1
363,1
365,1
373,1
378,1
379,1
387,1
389,1
390,1
395,1
396,1
397,1
401,1
406,1
407,1
