Job Release Time,Num Jobs Released
0,1
4,1
9,1
10,1
13,1
14,1
20,1
23,1
29,1
38,1
39,1
40,1
41,1
43,1
44,1
47,1
48,1
51,1
52,1
53,1
60,1
67,1
69,1
70,1
72,1
75,1
77,1
79,1
84,1
86,1
87,1
88,1
90,1
92,1
93,1
95,1
96,1
97,1
102,1
103,1
104,1
106,1
108,1
110,1
118,1
121,1
123,1
129,1
131,1
133,1
135,1
136,1
137,1
140,1
143,1
145,1
147,1
151,1
154,1
157,1
158,1
161,1
162,1
164,1
170,1
172,1
175,1
178,1
179,1
180,1
181,1
182,1
188,1
191,1
193,1
194,1
198,1
204,1
207,1
209,1
210,1
213,1
215,1
218,1
224,1
229,1
232,1
235,1
243,1
255,1
256,1
267,1
272,1
274,1
275,1
281,1
282,1
283,1
286,1
287,1
