Job Release Time,Num Jobs Released
1,1
2,1
3,1
6,1
7,1
11,1
13,1
16,1
17,1
18,1
20,1
21,1
23,1
24,1
25,1
28,1
29,1
30,1
31,1
32,1
34,1
38,1
40,1
41,1
44,1
47,1
50,1
52,1
56,1
57,1
59,1
60,1
61,1
64,1
65,1
70,1
76,1
77,1
79,1
80,1
84,1
86,1
91,1
92,1
96,1
98,1
103,1
105,1
109,1
110,1
111,1
113,1
116,1
117,1
118,1
119,1
120,1
121,1
122,1
126,1
127,1
128,1
130,1
132,1
134,1
137,1
138,1
139,1
142,1
143,1
144,1
148,1
150,1
152,1
154,1
160,1
162,1
167,1
170,1
171,1
172,1
173,1
174,1
178,1
183,1
184,1
185,1
186,1
188,1
195,1
198,1
200,1
202,1
209,1
210,1
214,1
217,1
220,1
224,1
226,1
