Job ID,GCUs Required,Execution Time,DeadLine,Lastest Time Schedulable,GCUs Req High,GCUs Req Medium,GCUs Req Low,ET High,ET Medium,ET Low,Deadline Flexibility
0,10,10,25,15,10,4,2,10,16,24,0
1,2,2,56,54,2,0,0,2,0,0,0
2,12,12,25,13,12,6,2,12,18,30,0
3,4,4,13,9,4,2,0,4,6,0,0
4,12,12,29,17,12,6,2,12,18,30,0
5,14,14,34,20,14,6,2,14,22,36,0
6,12,12,32,20,12,6,2,12,18,30,0
7,12,16,37,21,12,6,2,16,24,40,0
8,8,8,64,56,8,4,2,8,12,18,0
9,10,10,34,24,10,4,2,10,16,24,0
10,8,8,87,79,8,4,2,8,12,18,0
11,10,10,40,30,10,4,2,10,16,24,0
12,2,2,55,53,2,0,0,2,0,0,0
13,10,10,49,39,10,4,2,10,16,24,0
14,4,4,61,57,4,2,0,4,6,0,0
15,12,12,101,89,12,6,2,12,18,30,0
16,8,8,142,134,8,4,2,8,12,18,0
17,6,6,48,42,6,2,0,6,10,0,0
18,8,8,263,255,8,4,2,8,12,18,0
19,14,14,60,46,14,6,2,14,22,36,0
20,14,18,76,58,14,6,2,18,28,46,0
21,2,2,71,69,2,0,0,2,0,0,0
22,14,14,84,70,14,6,2,14,22,36,0
23,10,11,69,58,10,4,2,11,17,25,0
24,8,23,98,75,8,4,2,23,34,51,0
25,8,8,139,131,8,4,2,8,12,18,0
26,10,10,78,68,10,4,2,10,16,24,0
27,4,4,122,118,4,2,0,4,6,0,0
28,6,8,81,73,6,2,0,8,13,0,0
29,8,12,175,163,8,4,2,12,18,27,0
30,4,4,126,122,4,2,0,4,6,0,0
31,10,21,108,87,10,4,2,21,33,49,0
32,2,2,85,83,2,0,0,2,0,0,0
33,4,4,113,109,4,2,0,4,6,0,0
34,2,3,106,103,2,0,0,3,0,0,0
35,14,14,106,92,14,6,2,14,22,36,0
36,10,10,103,93,10,4,2,10,16,24,0
37,10,12,117,105,10,4,2,12,19,28,0
38,8,8,163,155,8,4,2,8,12,18,0
39,12,12,112,100,12,6,2,12,18,30,0
40,10,10,107,97,10,4,2,10,16,24,0
41,2,3,104,101,2,0,0,3,0,0,0
42,8,8,262,254,8,4,2,8,12,18,0
43,6,6,152,146,6,2,0,6,10,0,0
44,4,6,251,245,4,2,0,6,9,0,0
45,8,8,179,171,8,4,2,8,12,18,0
46,12,12,120,108,12,6,2,12,18,30,0
47,10,10,123,113,10,4,2,10,16,24,0
48,4,5,198,193,4,2,0,5,7,0,0
49,8,8,155,147,8,4,2,8,12,18,0
50,2,2,128,126,2,0,0,2,0,0,0
51,14,14,149,135,14,6,2,14,22,36,0
52,6,6,167,161,6,2,0,6,10,0,0
53,6,6,137,131,6,2,0,6,10,0,0
54,2,2,177,175,2,0,0,2,0,0,0
55,8,8,179,171,8,4,2,8,12,18,0
56,4,4,250,246,4,2,0,4,6,0,0
57,10,10,164,154,10,4,2,10,16,24,0
58,8,8,161,153,8,4,2,8,12,18,0
59,8,8,327,319,8,4,2,8,12,18,0
60,14,14,176,162,14,6,2,14,22,36,0
61,8,11,296,285,8,4,2,11,16,24,0
62,8,9,392,383,8,4,2,9,13,19,0
63,6,18,302,284,6,2,0,18,30,0,0
64,6,6,189,183,6,2,0,6,10,0,0
65,10,10,174,164,10,4,2,10,16,24,0
66,10,17,190,173,10,4,2,17,27,40,0
67,2,2,165,163,2,0,0,2,0,0,0
68,12,12,187,175,12,6,2,12,18,30,0
69,4,4,188,184,4,2,0,4,6,0,0
70,8,8,186,178,8,4,2,8,12,18,0
71,6,14,217,203,6,2,0,14,23,0,0
72,6,8,215,207,6,2,0,8,13,0,0
73,14,14,204,190,14,6,2,14,22,36,0
74,2,2,195,193,2,0,0,2,0,0,0
75,4,4,234,230,4,2,0,4,6,0,0
76,2,2,233,231,2,0,0,2,0,0,0
77,10,10,198,188,10,4,2,10,16,24,0
78,14,14,223,209,14,6,2,14,22,36,0
79,6,6,290,284,6,2,0,6,10,0,0
80,6,7,199,192,6,2,0,7,11,0,0
81,6,6,248,242,6,2,0,6,10,0,0
82,10,34,249,215,10,4,2,34,54,81,0
83,10,10,211,201,10,4,2,10,16,24,0
84,14,14,232,218,14,6,2,14,22,36,0
85,10,10,216,206,10,4,2,10,16,24,0
86,4,4,221,217,4,2,0,4,6,0,0
87,2,2,227,225,2,0,0,2,0,0,0
88,4,4,230,226,4,2,0,4,6,0,0
89,2,3,226,223,2,0,0,3,0,0,0
90,6,6,280,274,6,2,0,6,10,0,0
91,6,10,289,279,6,2,0,10,16,0,0
92,8,8,236,228,8,4,2,8,12,18,0
93,12,15,258,243,12,6,2,15,22,36,0
94,6,6,300,294,6,2,0,6,10,0,0
95,14,14,241,227,14,6,2,14,22,36,0
96,2,3,268,265,2,0,0,3,0,0,0
97,14,25,261,236,14,6,2,25,39,65,0
98,6,7,250,243,6,2,0,7,11,0,0
99,14,14,264,250,14,6,2,14,22,36,0
