Job ID,GCUs Required,Execution Time,DeadLine,Lastest Time Schedulable,GCUs Req High,GCUs Req Medium,GCUs Req Low,ET High,ET Medium,ET Low,Deadline Flexibility
0,8,8,82,74,8,4,2,8,12,18,0
1,8,8,24,16,8,4,2,8,12,18,0
2,8,8,41,33,8,4,2,8,12,18,10
3,4,4,14,10,4,2,0,4,6,0,0
4,2,2,10,8,2,0,0,2,0,0,20
5,14,15,24,9,14,6,2,15,23,38,0
6,6,6,16,10,6,2,0,6,10,0,20
7,10,15,27,12,10,4,2,15,24,36,10
8,12,12,33,21,12,6,2,12,18,30,0
9,6,6,25,19,6,2,0,6,10,0,20
10,4,4,86,82,4,2,0,4,6,0,0
11,4,4,30,26,4,2,0,4,6,0,0
12,2,2,47,45,2,0,0,2,0,0,20
13,14,14,46,32,14,6,2,14,22,36,10
14,8,8,111,103,8,4,2,8,12,18,10
15,10,10,41,31,10,4,2,10,16,24,10
16,10,10,56,46,10,4,2,10,16,24,20
17,10,10,39,29,10,4,2,10,16,24,10
18,2,2,87,85,2,0,0,2,0,0,10
19,6,8,278,270,6,2,0,8,13,0,20
20,4,4,78,74,4,2,0,4,6,0,10
21,4,4,51,47,4,2,0,4,6,0,0
22,6,11,96,85,6,2,0,11,18,0,10
23,4,4,57,53,4,2,0,4,6,0,20
24,14,14,76,62,14,6,2,14,22,36,20
25,14,14,83,69,14,6,2,14,22,36,10
26,12,22,81,59,12,6,2,22,33,55,0
27,10,10,65,55,10,4,2,10,16,24,10
28,4,4,71,67,4,2,0,4,6,0,10
29,4,4,108,104,4,2,0,4,6,0,20
30,8,9,106,97,8,4,2,9,13,19,10
31,6,6,104,98,6,2,0,6,10,0,20
32,10,12,88,76,10,4,2,12,19,28,10
33,14,14,97,83,14,6,2,14,22,36,10
34,2,2,127,125,2,0,0,2,0,0,20
35,8,13,310,297,8,4,2,13,19,28,10
36,10,10,81,71,10,4,2,10,16,24,0
37,2,2,166,164,2,0,0,2,0,0,10
38,14,17,109,92,14,6,2,17,26,43,10
39,12,12,100,88,12,6,2,12,18,30,20
40,4,4,134,130,4,2,0,4,6,0,0
41,12,13,87,74,12,6,2,13,19,31,10
42,10,10,97,87,10,4,2,10,16,24,0
43,4,4,130,126,4,2,0,4,6,0,20
44,14,15,146,131,14,6,2,15,23,38,10
45,12,13,103,90,12,6,2,13,19,31,20
46,4,4,116,112,4,2,0,4,6,0,0
47,8,8,169,161,8,4,2,8,12,18,10
48,14,20,121,101,14,6,2,20,31,51,10
49,8,8,110,102,8,4,2,8,12,18,20
50,10,11,141,130,10,4,2,11,17,25,10
51,8,8,179,171,8,4,2,8,12,18,20
52,10,10,121,111,10,4,2,10,16,24,0
53,2,3,122,119,2,0,0,3,0,0,10
54,4,4,218,214,4,2,0,4,6,0,10
55,4,5,134,129,4,2,0,5,7,0,20
56,12,12,173,161,12,6,2,12,18,30,0
57,8,8,135,127,8,4,2,8,12,18,0
58,6,6,186,180,6,2,0,6,10,0,10
59,12,14,163,149,12,6,2,14,21,35,0
60,8,8,163,155,8,4,2,8,12,18,20
61,6,6,138,132,6,2,0,6,10,0,0
62,2,2,127,125,2,0,0,2,0,0,20
63,14,14,152,138,14,6,2,14,22,36,0
64,6,6,187,181,6,2,0,6,10,0,10
65,8,9,173,164,8,4,2,9,13,19,20
66,4,4,139,135,4,2,0,4,6,0,0
67,8,9,168,159,8,4,2,9,13,19,20
68,4,4,163,159,4,2,0,4,6,0,10
69,12,12,146,134,12,6,2,12,18,30,20
70,8,46,188,142,8,4,2,46,69,103,0
71,10,10,150,140,10,4,2,10,16,24,0
72,8,8,148,140,8,4,2,8,12,18,10
73,12,12,175,163,12,6,2,12,18,30,20
74,4,4,185,181,4,2,0,4,6,0,10
75,6,6,232,226,6,2,0,6,10,0,0
76,4,4,157,153,4,2,0,4,6,0,20
77,2,2,180,178,2,0,0,2,0,0,0
78,2,2,159,157,2,0,0,2,0,0,0
79,2,3,160,157,2,0,0,3,0,0,20
80,12,12,166,154,12,6,2,12,18,30,20
81,10,10,162,152,10,4,2,10,16,24,0
82,2,3,201,198,2,0,0,3,0,0,0
83,14,16,179,163,14,6,2,16,25,41,20
84,8,8,197,189,8,4,2,8,12,18,0
85,6,6,246,240,6,2,0,6,10,0,10
86,6,6,182,176,6,2,0,6,10,0,0
87,8,8,184,176,8,4,2,8,12,18,0
88,8,8,286,278,8,4,2,8,12,18,0
89,6,14,209,195,6,2,0,14,23,0,0
90,4,4,209,205,4,2,0,4,6,0,0
91,10,10,189,179,10,4,2,10,16,24,0
92,14,14,198,184,14,6,2,14,22,36,10
93,10,10,206,196,10,4,2,10,16,24,20
94,4,4,246,242,4,2,0,4,6,0,0
95,6,13,228,215,6,2,0,13,21,0,0
96,4,4,237,233,4,2,0,4,6,0,10
97,4,4,292,288,4,2,0,4,6,0,20
98,12,12,198,186,12,6,2,12,18,30,20
99,10,10,198,188,10,4,2,10,16,24,20
