Job Release Time,Num Jobs Released
2,1
3,1
7,1
9,1
12,1
13,1
15,1
16,1
19,1
21,1
22,1
23,1
29,1
30,1
31,1
37,1
38,1
39,1
40,1
42,1
45,1
47,1
48,1
50,1
54,1
56,1
57,1
59,1
63,1
66,1
69,1
70,1
71,1
72,1
73,1
79,1
81,1
82,1
83,1
87,1
88,1
91,1
92,1
94,1
98,1
105,1
106,1
107,1
110,1
112,1
113,1
114,1
118,1
121,1
124,1
126,1
134,1
136,1
138,1
142,1
145,1
151,1
152,1
154,1
156,1
160,1
163,1
165,1
166,1
168,1
169,1
171,1
173,1
174,1
177,1
180,1
181,1
184,1
185,1
188,1
189,1
190,1
191,1
198,1
199,1
202,1
204,1
206,1
207,1
209,1
210,1
211,1
212,1
219,1
222,1
226,1
229,1
230,1
231,1
233,1
