Job Release Time,Num Jobs Released
6,1
7,1
8,1
10,1
15,1
19,1
21,1
25,1
27,1
30,1
32,1
33,1
34,1
36,1
38,1
39,1
43,1
45,1
51,1
55,1
57,1
58,1
59,1
60,1
61,1
64,1
67,1
68,1
71,1
76,1
80,1
82,1
83,1
88,1
91,1
92,1
93,1
94,1
97,1
102,1
105,1
107,1
110,1
111,1
112,1
113,1
114,1
117,1
120,1
121,1
126,1
127,1
129,1
133,1
135,1
139,1
142,1
143,1
148,1
150,1
157,1
158,1
160,1
162,1
165,1
167,1
173,1
174,1
175,1
177,1
182,1
183,1
184,1
186,1
190,1
191,1
192,1
202,1
206,1
208,1
209,1
210,1
213,1
216,1
218,1
226,1
228,1
231,1
234,1
236,1
237,1
238,1
244,1
246,1
250,1
253,1
255,1
256,1
258,1
261,1
