Job Release Time,Num Jobs Released
0,1
2,1
4,1
9,1
11,1
17,1
19,1
20,1
21,1
23,1
25,1
26,1
27,1
29,1
30,1
34,1
36,1
40,1
41,1
42,1
46,1
50,1
53,1
55,1
60,1
63,1
66,1
67,1
68,1
71,1
74,1
75,1
76,1
81,1
83,1
87,1
88,1
90,1
92,1
95,1
96,1
98,1
100,1
103,1
104,1
106,1
107,1
110,1
112,1
117,1
119,1
126,1
127,1
128,1
129,1
130,1
135,1
137,1
139,1
140,1
142,1
145,1
151,1
152,1
159,1
161,1
162,1
163,1
165,1
167,1
173,1
174,1
175,1
178,1
179,1
181,1
182,1
187,1
190,1
191,1
192,1
195,1
198,1
199,1
201,1
203,1
205,1
208,1
213,1
216,1
219,1
220,1
223,1
225,1
226,1
227,1
230,1
231,1
233,1
235,1
